0x6180 FRMFILT0 FRMFILT1 SRCMATCH SRCSHORTEN0
0x6184 SRCSHORTEN1 SRCSHORTEN2 SRCEXTEN0 SRCEXTEN1
0x6188 SRCEXTEN2 FRMCTRL0 FRMCTRL1 RXENABLE
0x618C RXMASKSET RXMASKCLR FREQTUNE FREQCTRL
0x6190 TXPOWER TXCTRL FSMSTAT0 FSMSTAT1
0x6194 FIFOPCTRL FSMCTRL CCACTRL0 CCACTRL1
0x6198 RSSI RSSISTAT RXFIRST RXFIFOCNT
0x619C TXFIFOCNT RXFIRST_PTR RXLAST_PTR RXP1_PTR
0x61A0 void TXFIRST_PTR TXLAST_PTR RFIRQM0
0x61A4 RFIRQM1 RFERRM MONMUX RFRND
0x61A8 MDMCTRL0 MDMCTRL1 FREQEST RXCTRL
0x61AC FSCTRL void FSCAL1 FSCAL2
0x61B0 FSCAL3 AGCCTRL0 AGCCTRL1 AGCCTRL2
0x61B4 AGCCTRL3 ADCTEST0 ADCTEST1 ADCTEST2
0x61B8 MDMTEST0 MDMTEST1 DACTEST0 DACTEST1
0x61BC DACTEST2 ATEST PTEST0 PTEST1
0x61C0 CSPPROG0 CSPPROG1 CSPPROG2 CSPPROG3
0x61C4 CSPPROG4 CSPPROG5 CSPPROG6 CSPPROG7
0x61C8 CSPPROG8 CSPPROG9 CSPPROG10 CSPPROG11
0x61CC CSPPROG12 CSPPROG13 CSPPROG14 CSPPROG15
0x61D0 CSPPROG16 CSPPROG17 CSPPROG18 CSPPROG19
0x61D4 CSPPROG20 CSPPROG21 CSPPROG22 CSPPROG23
0x61D8 void void void void
0x61DC void void void void
0x61E0 CSPCTRL CSPSTAT CSPX CSPY
0x61E4 CSPZ CSPT void void
0x61E8 void void void RFC_OBS_CTRL0
0x61EC RFC_OBS_CTRL1 RFC_OBS_CTRL2 void void
0x61F0 void void void void
0x61F4 void void void void
0x61F8 void void TXFILTCFG void
